,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,63,61,93,7,0,28.94,0.1,E,Light Rain,2016-05-21,2016-05-21 01:22:00
1,1,2:22 AM,63,61,93,7,0,28.94,0.0,E,Light Drizzle,2016-05-21,2016-05-21 02:22:00
2,2,3:22 AM,63,61,93,7,0,28.92,0.0,E,Fog,2016-05-21,2016-05-21 03:22:00
3,3,4:22 AM,63,61,93,7,0,28.91,0.0,ENE,Fog,2016-05-21,2016-05-21 04:22:00
4,4,5:22 AM,63,61,93,0,0,28.91,0.0,CALM,Fog,2016-05-21,2016-05-21 05:22:00
5,5,6:22 AM,63,61,93,3,0,28.92,0.0,E,Light Rain,2016-05-21,2016-05-21 06:22:00
6,6,6:22 AM,63,61,93,0,0,28.92,0.0,CALM,Fog,2016-05-21,2016-05-21 06:22:00
7,7,7:22 AM,64,62,93,0,0,28.94,0.0,CALM,Fog,2016-05-21,2016-05-21 07:22:00
8,8,8:00 AM,64,62,93,0,0,28.94,0.0,CALM,Fog,2016-05-21,2016-05-21 08:00:00
9,9,8:22 AM,66,63,90,5,0,28.94,0.0,SSW,Fog,2016-05-21,2016-05-21 08:22:00
10,10,8:40 AM,68,65,90,6,0,28.95,0.0,SW,Light Rain,2016-05-21,2016-05-21 08:40:00
11,11,8:56 AM,68,65,90,3,0,28.95,0.0,WSW,Cloudy,2016-05-21,2016-05-21 08:56:00
12,12,9:08 AM,68,65,90,5,0,28.94,0.0,WSW,Cloudy,2016-05-21,2016-05-21 09:08:00
13,13,9:22 AM,69,65,87,6,0,28.94,0.0,SW,Cloudy,2016-05-21,2016-05-21 09:22:00
14,14,9:48 AM,71,66,84,3,0,28.94,0.0,WSW,Mostly Cloudy,2016-05-21,2016-05-21 09:48:00
15,15,10:12 AM,74,66,76,6,0,28.94,0.0,WSW,Mostly Cloudy,2016-05-21,2016-05-21 10:12:00
16,16,10:17 AM,73,66,78,6,0,28.94,0.0,WSW,Mostly Cloudy,2016-05-21,2016-05-21 10:17:00
17,17,10:22 AM,73,65,76,7,0,28.94,0.0,W,Cloudy,2016-05-21,2016-05-21 10:22:00
18,18,11:10 AM,77,66,69,7,0,28.94,0.0,WSW,Partly Cloudy,2016-05-21,2016-05-21 11:10:00
19,19,11:22 AM,76,65,69,8,0,28.93,0.0,SW,Partly Cloudy,2016-05-21,2016-05-21 11:22:00
20,20,12:00 PM,74,64,71,13,0,28.92,0.0,W,Light Rain,2016-05-21,2016-05-21 00:00:00
21,21,12:22 PM,74,67,79,0,0,28.93,0.1,CALM,Cloudy,2016-05-21,2016-05-21 00:22:00
22,22,12:53 PM,76,64,67,13,0,28.91,0.0,NNW,Cloudy,2016-05-21,2016-05-21 00:53:00
23,23,1:22 PM,75,64,69,12,0,28.9,0.0,NNW,Light Rain,2016-05-21,2016-05-21 13:22:00
24,24,2:22 PM,78,61,56,21,25,28.88,0.0,NW,Partly Cloudy / Windy,2016-05-21,2016-05-21 14:22:00
25,25,3:22 PM,81,59,47,18,0,28.87,0.0,NW,Partly Cloudy,2016-05-21,2016-05-21 15:22:00
26,26,4:22 PM,80,56,43,16,26,28.86,0.0,NW,Partly Cloudy,2016-05-21,2016-05-21 16:22:00
27,27,5:22 PM,80,57,45,16,23,28.86,0.0,WNW,Mostly Cloudy,2016-05-21,2016-05-21 17:22:00
28,28,6:22 PM,76,55,48,16,23,28.85,0.0,WNW,Partly Cloudy,2016-05-21,2016-05-21 18:22:00
29,29,7:22 PM,75,56,51,14,0,28.86,0.0,NW,Partly Cloudy,2016-05-21,2016-05-21 19:22:00
30,30,9:22 PM,72,55,55,12,0,28.86,0.0,NW,Partly Cloudy,2016-05-21,2016-05-21 21:22:00
31,31,10:22 PM,70,56,61,13,0,28.87,0.0,NW,Partly Cloudy,2016-05-21,2016-05-21 22:22:00
32,32,11:22 PM,69,53,57,12,0,28.9,0.0,NNW,Partly Cloudy,2016-05-21,2016-05-21 23:22:00
33,33,12:22 AM,66,53,63,9,0,28.9,0.0,NNW,Fair,2016-05-21,2016-05-21 12:22:00
