,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,73,61,66,5,0,28.98,0.0,WNW,Mostly Cloudy,2018-07-29
1,2:22 AM,71,62,73,6,0,28.97,0.0,NW,Partly Cloudy,2018-07-29
2,3:22 AM,70,62,76,7,0,28.96,0.0,NW,Partly Cloudy,2018-07-29
3,4:22 AM,70,62,76,3,0,28.96,0.0,NNW,Partly Cloudy,2018-07-29
4,5:22 AM,70,62,76,3,0,28.96,0.0,NNW,Mostly Cloudy,2018-07-29
5,6:22 AM,69,62,78,6,0,28.95,0.0,NW,Mostly Cloudy,2018-07-29
6,6:22 AM,69,62,78,5,0,28.96,0.0,NW,Mostly Cloudy,2018-07-29
7,7:22 AM,69,62,78,7,0,28.97,0.0,NW,Mostly Cloudy,2018-07-29
8,8:22 AM,74,63,68,6,0,28.97,0.0,NE,Mostly Cloudy,2018-07-29
9,9:22 AM,78,65,64,7,0,28.97,0.0,E,Partly Cloudy,2018-07-29
10,10:22 AM,80,64,58,0,0,28.97,0.0,CALM,Partly Cloudy,2018-07-29
11,11:22 AM,83,62,49,6,0,28.97,0.0,SSE,Partly Cloudy,2018-07-29
12,12:22 PM,86,63,46,3,0,28.97,0.0,VAR,Partly Cloudy,2018-07-29
13,1:22 PM,87,63,44,7,0,28.96,0.0,WSW,Partly Cloudy,2018-07-29
14,2:22 PM,89,61,39,13,0,28.94,0.0,NW,Partly Cloudy,2018-07-29
15,3:22 PM,89,62,40,9,0,28.93,0.0,WNW,Partly Cloudy,2018-07-29
16,4:22 PM,89,57,34,7,0,28.91,0.0,NW,Partly Cloudy,2018-07-29
17,5:22 PM,88,60,39,8,0,28.90,0.0,W,Partly Cloudy,2018-07-29
18,6:22 PM,88,60,39,6,0,28.91,0.0,W,Partly Cloudy,2018-07-29
19,7:22 PM,84,61,46,3,0,28.92,0.0,WSW,Mostly Cloudy,2018-07-29
20,9:22 PM,83,62,49,3,0,28.92,0.0,SW,Mostly Cloudy,2018-07-29
21,10:22 PM,81,62,52,3,0,28.93,0.0,WSW,Mostly Cloudy,2018-07-29
22,11:22 PM,81,63,54,0,0,28.94,0.0,CALM,Mostly Cloudy,2018-07-29
23,12:22 AM,76,68,76,7,0,28.95,0.0,SSE,Mostly Cloudy,2018-07-29
