,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,81,72,74,5,0,29.03,0.0,W,Mostly Cloudy,2018-08-07
1,2:22 AM,80,72,76,0,0,29.01,0.0,CALM,Mostly Cloudy,2018-08-07
2,3:22 AM,80,71,74,3,0,29.00,0.0,NW,Mostly Cloudy,2018-08-07
3,4:22 AM,78,71,79,3,0,29.00,0.0,SSE,Mostly Cloudy,2018-08-07
4,5:22 AM,76,72,87,3,0,29.00,0.0,W,Mostly Cloudy,2018-08-07
5,6:22 AM,76,71,85,3,0,29.01,0.0,NW,Partly Cloudy,2018-08-07
6,6:22 AM,76,71,85,0,0,29.03,0.0,CALM,Partly Cloudy,2018-08-07
7,7:22 AM,78,72,81,0,0,29.04,0.0,CALM,Partly Cloudy,2018-08-07
8,8:22 AM,80,73,79,3,0,29.05,0.0,S,Partly Cloudy,2018-08-07
9,9:22 AM,84,74,72,0,0,29.05,0.0,CALM,Fair,2018-08-07
10,10:22 AM,89,73,59,5,0,29.05,0.0,VAR,Partly Cloudy,2018-08-07
11,11:22 AM,87,71,59,8,0,29.05,0.0,WNW,Partly Cloudy,2018-08-07
12,11:33 AM,90,72,55,10,0,29.05,0.0,WNW,Partly Cloudy,2018-08-07
13,11:45 AM,90,73,57,8,0,29.04,0.0,W,Thunder in the Vicinity,2018-08-07
14,12:08 PM,87,71,59,8,0,29.04,0.0,W,Thunder in the Vicinity,2018-08-07
15,12:22 PM,90,73,57,6,0,29.04,0.0,W,Mostly Cloudy,2018-08-07
16,12:58 PM,89,69,52,13,0,29.03,0.0,NW,Thunder in the Vicinity,2018-08-07
17,1:13 PM,89,70,53,9,0,29.02,0.0,NW,Partly Cloudy,2018-08-07
18,1:22 PM,90,67,46,10,0,29.02,0.0,W,Mostly Cloudy,2018-08-07
19,1:53 PM,89,71,55,12,0,29.01,0.0,W,Mostly Cloudy,2018-08-07
20,1:57 PM,87,69,55,10,0,29.01,0.0,W,Thunder in the Vicinity,2018-08-07
21,1:59 PM,87,69,55,7,17,29.00,0.0,W,Thunder in the Vicinity,2018-08-07
22,2:22 PM,89,72,57,7,0,28.99,0.0,W,Thunder in the Vicinity,2018-08-07
23,2:35 PM,90,71,54,6,0,29.00,0.0,W,Mostly Cloudy,2018-08-07
24,3:22 PM,90,70,52,0,0,28.97,0.0,,Mostly Cloudy,2018-08-07
25,3:47 PM,88,71,57,5,0,28.96,0.0,VAR,Thunder in the Vicinity,2018-08-07
26,4:22 PM,91,72,53,6,0,28.97,0.0,VAR,Mostly Cloudy,2018-08-07
27,4:37 PM,91,70,50,9,0,28.98,0.0,SW,Thunder in the Vicinity,2018-08-07
28,5:14 PM,80,67,64,18,30,29.00,0.0,SSW,Thunder,2018-08-07
29,5:22 PM,79,67,66,16,30,29.00,0.0,SSW,Thunder,2018-08-07
30,5:57 PM,79,66,64,9,0,28.98,0.0,SSW,Thunder in the Vicinity,2018-08-07
31,6:15 PM,79,65,62,8,0,28.98,0.0,SSW,Mostly Cloudy,2018-08-07
32,6:22 PM,79,65,62,6,0,28.97,0.0,SSW,Mostly Cloudy,2018-08-07
33,7:22 PM,81,67,62,6,0,28.96,0.0,WNW,Mostly Cloudy,2018-08-07
34,9:22 PM,79,68,69,7,0,28.97,0.0,NW,Mostly Cloudy,2018-08-07
35,10:22 PM,77,68,74,6,0,29.00,0.0,SSW,Mostly Cloudy,2018-08-07
36,11:22 PM,76,68,76,7,0,29.00,0.0,SW,Mostly Cloudy,2018-08-07
37,12:22 AM,75,68,79,5,0,29.00,0.0,SW,Mostly Cloudy,2018-08-07
