,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,73,67,81,0,0,29.05,0.0,CALM,Partly Cloudy,2018-06-18
1,2:22 AM,72,67,84,6,0,29.05,0.0,NW,Fair,2018-06-18
2,3:22 AM,72,67,84,7,0,29.04,0.0,NW,Fair,2018-06-18
3,4:22 AM,73,67,81,6,0,29.03,0.0,N,Fair,2018-06-18
4,5:22 AM,71,67,87,5,0,29.04,0.0,NNW,Fair,2018-06-18
5,6:22 AM,72,66,81,8,0,29.05,0.0,NNW,Fair,2018-06-18
6,6:22 AM,71,67,87,7,0,29.06,0.0,WNW,Partly Cloudy,2018-06-18
7,7:22 AM,75,67,76,5,0,29.07,0.0,NNW,Fair,2018-06-18
8,8:22 AM,78,68,71,5,0,29.08,0.0,NW,Fair,2018-06-18
9,9:22 AM,81,68,65,9,0,29.09,0.0,NNW,Fair,2018-06-18
10,10:22 AM,84,68,58,7,0,29.08,0.0,NW,Partly Cloudy,2018-06-18
11,11:22 AM,86,70,59,9,0,29.07,0.0,NW,Partly Cloudy,2018-06-18
12,12:22 PM,88,69,53,9,0,29.06,0.0,N,Partly Cloudy,2018-06-18
13,1:22 PM,91,69,48,8,0,29.05,0.0,NNW,Partly Cloudy,2018-06-18
14,2:22 PM,90,68,48,9,0,29.03,0.0,NNW,Partly Cloudy,2018-06-18
15,3:04 PM,89,67,48,10,0,29.02,0.0,NNW,Mostly Cloudy,2018-06-18
16,3:07 PM,89,67,48,8,0,29.02,0.0,NW,Thunder,2018-06-18
17,3:11 PM,89,68,50,9,0,29.02,0.0,WNW,Thunder,2018-06-18
18,3:22 PM,85,68,57,9,0,29.01,0.0,SE,Thunder,2018-06-18
19,3:41 PM,82,66,58,8,0,29.01,0.0,SSE,Light Rain with Thunder,2018-06-18
20,3:46 PM,83,66,56,6,0,29.01,0.0,SSE,Light Rain with Thunder,2018-06-18
21,3:54 PM,83,67,58,3,0,29.00,0.0,S,Light Rain,2018-06-18
22,4:22 PM,85,68,57,5,0,28.99,0.0,E,Mostly Cloudy,2018-06-18
23,5:22 PM,89,69,52,8,0,28.97,0.0,NNE,Mostly Cloudy,2018-06-18
24,6:22 PM,89,69,52,0,0,28.96,0.0,CALM,Partly Cloudy,2018-06-18
25,7:22 PM,88,69,53,6,0,28.96,0.0,W,Partly Cloudy,2018-06-18
26,9:22 PM,85,69,59,6,0,28.97,0.0,W,Partly Cloudy,2018-06-18
27,10:22 PM,83,70,65,3,0,28.98,0.0,W,Partly Cloudy,2018-06-18
28,11:22 PM,83,69,63,7,0,28.99,0.0,WNW,Partly Cloudy,2018-06-18
29,12:22 AM,81,70,69,7,0,28.99,0.0,NW,Partly Cloudy,2018-06-18
