,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,64,48,56,8,0,29.15,0.0,SSW,Mostly Cloudy,2017-04-11
1,2:22 AM,62,48,60,5,0,29.15,0.0,SSW,Mostly Cloudy,2017-04-11
2,3:22 AM,62,49,62,5,0,29.15,0.0,S,Cloudy,2017-04-11
3,4:22 AM,61,48,62,5,0,29.14,0.0,SSW,Cloudy,2017-04-11
4,5:22 AM,59,50,72,0,0,29.14,0.0,CALM,Cloudy,2017-04-11
5,6:22 AM,59,50,72,7,0,29.14,0.0,S,Mostly Cloudy,2017-04-11
6,6:22 AM,57,51,81,7,0,29.15,0.0,S,Partly Cloudy,2017-04-11
7,7:22 AM,58,52,81,5,0,29.17,0.0,SSW,Partly Cloudy,2017-04-11
8,8:22 AM,61,53,75,8,0,29.20,0.0,SSW,Partly Cloudy,2017-04-11
9,9:22 AM,65,57,75,6,0,29.20,0.0,SSW,Partly Cloudy,2017-04-11
10,10:22 AM,71,56,59,3,0,29.21,0.0,W,Partly Cloudy,2017-04-11
11,11:22 AM,74,57,55,3,0,29.21,0.0,WNW,Partly Cloudy,2017-04-11
12,12:22 PM,75,52,44,0,0,29.20,0.0,CALM,Partly Cloudy,2017-04-11
13,1:22 PM,77,51,40,5,0,29.18,0.0,SSW,Partly Cloudy,2017-04-11
14,2:22 PM,78,52,40,8,0,29.15,0.0,ESE,Partly Cloudy,2017-04-11
15,3:22 PM,78,49,36,8,0,29.12,0.0,SSW,Partly Cloudy,2017-04-11
16,4:22 PM,79,50,36,8,0,29.10,0.0,SSW,Partly Cloudy,2017-04-11
17,5:22 PM,79,49,35,5,0,29.09,0.0,VAR,Mostly Cloudy,2017-04-11
18,6:22 PM,78,49,36,6,0,29.09,0.0,SSW,Mostly Cloudy,2017-04-11
19,7:22 PM,75,49,40,6,0,29.09,0.0,S,Mostly Cloudy,2017-04-11
20,9:22 PM,72,49,44,5,0,29.10,0.0,S,Partly Cloudy,2017-04-11
21,10:22 PM,71,50,47,3,0,29.12,0.0,S,Mostly Cloudy,2017-04-11
22,11:22 PM,68,51,55,3,0,29.13,0.0,SW,Partly Cloudy,2017-04-11
23,12:22 AM,66,52,60,3,0,29.13,0.0,SW,Partly Cloudy,2017-04-11
