,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,48,31,52,3,0,29.14,0.0,NW,Fair,2017-03-20
1,2:22 AM,47,31,54,5,0,29.13,0.0,WNW,Fair,2017-03-20
2,3:22 AM,45,33,63,8,0,29.13,0.0,NW,Fair,2017-03-20
3,4:22 AM,44,33,65,7,0,29.12,0.0,NNW,Fair,2017-03-20
4,5:22 AM,47,31,54,7,0,29.10,0.0,N,Fair,2017-03-20
5,6:22 AM,46,31,56,9,0,29.10,0.0,NNE,Fair,2017-03-20
6,6:22 AM,47,30,52,6,0,29.12,0.0,NNE,Partly Cloudy,2017-03-20
7,7:22 AM,47,30,52,5,0,29.12,0.0,NE,Fair,2017-03-20
8,8:22 AM,49,32,52,8,0,29.13,0.0,E,Mostly Cloudy,2017-03-20
9,9:22 AM,50,32,50,3,0,29.13,0.0,ESE,Partly Cloudy,2017-03-20
10,10:22 AM,54,32,43,0,0,29.14,0.0,CALM,Mostly Cloudy,2017-03-20
11,11:22 AM,60,35,39,0,0,29.14,0.0,CALM,Partly Cloudy,2017-03-20
12,12:22 PM,67,31,26,10,0,29.13,0.0,WNW,Mostly Cloudy,2017-03-20
13,1:22 PM,69,30,23,0,0,29.11,0.0,CALM,Mostly Cloudy,2017-03-20
14,2:22 PM,72,36,27,8,0,29.07,0.0,S,Partly Cloudy,2017-03-20
15,3:22 PM,75,42,31,7,0,29.04,0.0,W,Partly Cloudy,2017-03-20
16,4:22 PM,75,42,31,12,0,29.00,0.0,WSW,Partly Cloudy,2017-03-20
17,5:22 PM,76,44,32,8,0,28.99,0.0,WSW,Mostly Cloudy,2017-03-20
18,6:22 PM,76,44,32,10,0,28.98,0.0,SW,Mostly Cloudy,2017-03-20
19,7:22 PM,72,44,37,7,0,28.97,0.0,SSW,Mostly Cloudy,2017-03-20
20,9:22 PM,69,44,40,7,0,28.98,0.0,SSW,Mostly Cloudy,2017-03-20
21,10:22 PM,67,45,45,5,0,29.00,0.0,SW,Mostly Cloudy,2017-03-20
22,11:22 PM,65,47,52,7,0,28.99,0.0,SSW,Mostly Cloudy,2017-03-20
23,12:22 AM,64,48,56,5,0,29.00,0.0,WSW,Cloudy,2017-03-20
