,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,2:22 AM,22,15,75,16,24,29.3,0.0,NNW,Fair,2018-01-14,2018-01-14 02:22:00
1,1,3:22 AM,22,14,72,13,0,29.31,0.0,NNW,Fair,2018-01-14,2018-01-14 03:22:00
2,2,4:22 AM,20,14,78,8,0,29.32,0.0,NNW,Fair,2018-01-14,2018-01-14 04:22:00
3,3,5:22 AM,20,13,74,9,16,29.32,0.0,NNW,Fair,2018-01-14,2018-01-14 05:22:00
4,4,6:22 AM,19,13,77,8,0,29.32,0.0,NNW,Fair,2018-01-14,2018-01-14 06:22:00
5,5,6:22 AM,19,13,77,9,0,29.34,0.0,NNW,Fair,2018-01-14,2018-01-14 06:22:00
6,6,7:22 AM,18,12,78,9,0,29.35,0.0,NNW,Fair,2018-01-14,2018-01-14 07:22:00
7,7,8:22 AM,18,12,78,8,0,29.38,0.0,NW,Fair,2018-01-14,2018-01-14 08:22:00
8,8,9:22 AM,21,13,71,7,0,29.4,0.0,NNW,Fair,2018-01-14,2018-01-14 09:22:00
9,9,10:22 AM,25,15,66,6,0,29.41,0.0,NNW,Partly Cloudy,2018-01-14,2018-01-14 10:22:00
10,10,11:22 AM,29,16,58,6,0,29.42,0.0,NW,Partly Cloudy,2018-01-14,2018-01-14 11:22:00
11,11,12:22 PM,34,16,48,0,0,29.4,0.0,CALM,Fair,2018-01-14,2018-01-14 00:22:00
12,12,1:22 PM,35,17,48,3,0,29.36,0.0,WSW,Fair,2018-01-14,2018-01-14 13:22:00
13,13,2:22 PM,37,16,42,0,0,29.33,0.0,CALM,Fair,2018-01-14,2018-01-14 14:22:00
14,14,3:22 PM,39,15,38,0,0,29.32,0.0,CALM,Partly Cloudy,2018-01-14,2018-01-14 15:22:00
15,15,4:22 PM,41,14,33,3,0,29.32,0.0,NW,Partly Cloudy,2018-01-14,2018-01-14 16:22:00
16,16,5:22 PM,40,11,31,5,0,29.32,0.0,NNW,Fair,2018-01-14,2018-01-14 17:22:00
17,17,6:22 PM,38,13,36,6,0,29.32,0.0,NNW,Partly Cloudy,2018-01-14,2018-01-14 18:22:00
18,18,7:22 PM,36,14,41,9,0,29.33,0.0,NNW,Partly Cloudy,2018-01-14,2018-01-14 19:22:00
19,19,9:22 PM,34,14,44,7,0,29.33,0.0,NNW,Mostly Cloudy,2018-01-14,2018-01-14 21:22:00
20,20,10:22 PM,33,13,43,8,0,29.34,0.0,N,Mostly Cloudy,2018-01-14,2018-01-14 22:22:00
21,21,11:22 PM,33,13,43,7,0,29.34,0.0,N,Mostly Cloudy,2018-01-14,2018-01-14 23:22:00
22,22,12:22 AM,33,14,46,7,0,29.35,0.0,N,Partly Cloudy,2018-01-14,2018-01-14 12:22:00
23,23,1:22 AM,31,14,50,5,0,29.34,0.0,ENE,Partly Cloudy,2018-01-14,2018-01-14 01:22:00
